user_id,date,referral_level,child_user_id,profit_amount,created_at
07712F,2025-11-30,2,4DF9A5,0.099,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,2,5452E7,0.198,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,2,870323,0.099,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,3,8964D7,0.050,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,3,3F679F,0.050,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,3,8DDB99,0.099,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,3,5881AB,0.050,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,3,C2FDA7,0.050,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,3,466809,0.050,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,3,7C7956,0.050,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,3,7B703E,0.050,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,3,394CEC,0.099,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,3,A94B2B,0.050,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,3,DC9AEE,0.050,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,3,01F96B,0.050,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,3,66AD54,0.050,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,3,B34768,0.050,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,3,F60F23,0.050,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,3,DEB705,0.050,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,3,A605F4,0.248,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,3,320D5E,0.050,2025-12-01 05:38:33.652295+00
099358,2025-11-30,1,01F96B,0.198,2025-12-01 05:38:33.652295+00
0B2371,2025-11-30,1,66AD54,0.198,2025-12-01 05:38:33.652295+00
0B2371,2025-11-30,1,3F679F,0.198,2025-12-01 05:38:33.652295+00
0B2371,2025-11-30,1,A605F4,0.991,2025-12-01 05:38:33.652295+00
0B2371,2025-11-30,1,8DDB99,0.396,2025-12-01 05:38:33.652295+00
0B2371,2025-11-30,2,8EEC73,0.496,2025-12-01 05:38:33.652295+00
0B2371,2025-11-30,2,047E33,0.496,2025-12-01 05:38:33.652295+00
0B2371,2025-11-30,2,2F8CBC,0.099,2025-12-01 05:38:33.652295+00
0B2371,2025-11-30,3,885952,0.248,2025-12-01 05:38:33.652295+00
0B2371,2025-11-30,3,02FDF0,0.198,2025-12-01 05:38:33.652295+00
0D4493,2025-11-30,1,466809,0.198,2025-12-01 05:38:33.652295+00
